Name,Date Time,Open,High,Low,Last,Volume,Open Interest
@ES#,7/12/2013,1562,1607.75,1559.5,1603.75,6660273,13562533
@ES#,7/19/2013,1603.5,1624,1599.25,1623,5997871,13847375
@ES#,7/26/2013,1623.5,1629,1604,1620,6213737,13916746
@ES#,8/2/2013,1620,1638.5,1610,1637.5,7134900,14053052
@ES#,8/9/2013,1636.25,1638.5,1614,1619.75,6699893,13984933
@ES#,8/16/2013,1618.5,1628,1583,1584.5,8500210,14149353
@ES#,8/23/2013,1584.5,1596.25,1565,1595,8037327,14423924
@ES#,8/30/2013,1594.25,1601,1558.25,1564.75,8791964,14500190
@ES#,9/6/2013,1573.75,1597.5,1564.25,1587,7793233,11436537
@ES#,9/13/2013,1585.5,1624,1585.5,1622,6936249,10117579
@ES#,9/20/2013,1633,1666.75,1627.75,1642.5,9438032,11556214
@ES#,9/27/2013,1646.5,1647.5,1620,1626.5,7712063,13100203
@ES#,10/4/2013,1615,1632.25,1603.25,1624.75,9393326,13255025
@ES#,10/11/2013,1616.75,1640.25,1580,1639,10283510,13471197
@ES#,10/18/2013,1624,1680.25,1620.75,1676.5,8386005,13431316
@ES#,10/25/2013,1678,1695.75,1674.5,1694,7010141,13582773
@ES#,11/1/2013,1693.75,1713.25,1687,1694.75,7614270,13759048
@ES#,11/8/2013,1694,1714.5,1676.5,1706,8342933,13858912
@ES#,11/15/2013,1707,1736,1694.25,1733.5,6874087,13902215
@ES#,11/22/2013,1733.5,1743.25,1714.5,1741.25,7843741,14003380
@ES#,11/29/2013,1742,1752.5,1738.5,1744,3878111,11175650
@ES#,12/6/2013,1746.25,1749,1717.75,1745,8499895,13825752
@ES#,12/13/2013,1746.5,1751.5,1711.75,1714.75,6631315,10134889
@ES#,12/20/2013,1714.75,1764.25,1700.25,1760.75,9194472,12182790
@ES#,12/27/2013,1763.25,1786.25,1763,1782.75,2113200,11004020
@ES#,1/3/2014,1782.25,1792.75,1766.75,1771.75,3439460,11097992
@ES#,1/10/2014,1770.25,1788.75,1763.5,1784,6642556,13937344
@ES#,1/17/2014,1784.75,1792,1755.75,1780.5,6700960,14320926
@ES#,1/24/2014,1780.25,1790.25,1726.25,1728.25,6653103,11468021
@ES#,1/31/2014,1728,1747.5,1707.5,1722.75,11457514,14475310
@ES#,2/7/2014,1723.75,1740.25,1678.25,1739.75,11511618,14797828
@ES#,2/14/2014,1739.25,1785,1732.5,1781.25,7309350,15155957
@ES#,2/21/2014,1779.75,1790.75,1763.5,1780.5,5906838,12506182
@ES#,2/28/2014,1781.5,1812.75,1775.5,1803.75,8365183,15584398
@ES#,3/7/2014,1792.25,1833.75,1778.5,1824.25,8421064,15780997
@ES#,3/14/2014,1821.75,1828.5,1785.25,1786.25,7785736,11619570
@ES#,3/21/2014,1785.5,1830,1776.75,1810.25,9335236,12916837
@ES#,3/28/2014,1808.75,1822,1787.25,1803.75,8925594,13988966
@ES#,4/4/2014,1808.25,1845.75,1808.25,1813.25,7703725,13965207
@ES#,4/11/2014,1814.25,1820.75,1760.5,1765,10353731,13837683
@ES#,4/18/2014,1759.25,1817,1756.5,1811.25,7004980,11111070
@ES#,4/25/2014,1812.5,1835.75,1806.25,1813.25,5725786,13946418
@ES#,5/2/2014,1815,1839.25,1797.25,1827.75,7441929,14125826
@ES#,5/9/2014,1828.75,1838,1807.75,1826.75,7785096,14239807
@ES#,5/16/2014,1827.25,1851.75,1812.25,1828,7217263,14583005
@ES#,5/23/2014,1829.5,1852.5,1818,1850.25,5746739,14734533
@ES#,5/30/2014,1851.25,1875.5,1850.25,1874.75,4135429,11962669
@ES#,6/6/2014,1874.5,1903,1867,1902.5,5801033,15011447
@ES#,6/13/2014,1902.5,1908,1878,1888.75,5708869,11016243
@ES#,6/20/2014,1888.5,1917.25,1879.5,1913.75,7900603,12844656
@ES#,6/27/2014,1913.25,1920.5,1896.75,1912.5,6749831,14340479
@ES#,7/4/2014,1912.25,1938.75,1908.5,1938,4378624,11676721
@ES#,7/11/2014,1937.5,1938,1905.75,1923,7658125,14525106
@ES#,7/18/2014,1923.25,1938.5,1903,1932,8468015,14645400
@ES#,7/25/2014,1930.75,1946.25,1919.5,1932,6431278,14684956
@ES#,8/1/2014,1931.25,1940,1870.75,1879,10304801,14648771
@ES#,8/8/2014,1880,1898,1850.75,1884.25,9306684,14503444
@ES#,8/15/2014,1884,1921.5,1883.75,1913,6313830,14641522
@ES#,8/22/2014,1916.25,1952.5,1916.25,1948.25,4775033,14774355
@ES#,8/29/2014,1950.5,1964.25,1948,1962,4623804,14958046
@ES#,9/5/2014,1959.5,1971.5,1948.75,1966.5,5755085,12012929
@ES#,9/12/2014,1967,1967.25,1939.75,1945.25,7236808,11397299
@ES#,9/19/2014,1942.25,1983,1936.5,1972.25,8937007,12833630
@ES#,9/26/2014,1970.5,1971.5,1925,1944.5,8776859,13982923
@ES#,10/3/2014,1943.25,1946.75,1886.75,1928.75,10507772,13877798
@ES#,10/10/2014,1929.5,1939.5,1861.75,1862.75,12588495,13725900
@ES#,10/17/2014,1860.5,1874.5,1781.5,1849.5,16672042,14178328
@ES#,10/24/2014,1852.5,1929.75,1840.75,1928.25,9530951,14118732
@ES#,10/31/2014,1928.75,1985.25,1913,1980,8823918,14250583
@ES#,11/7/2014,1979.75,2002,1963.75,1994.5,7177975,14222617
@ES#,11/14/2014,1994.25,2012.25,1989.5,2006.5,5418663,14517054
@ES#,11/21/2014,2007,2040.75,1993.75,2030.25,6160467,14708293
@ES#,11/28/2014,2030.75,2043.75,2029.25,2034.75,3298427,11818486
@ES#,12/5/2014,2031.75,2047.5,2016.75,2044.5,6071830,14709637
@ES#,12/12/2014,2044.25,2046,1965.25,1966,9021564,10683956
@ES#,12/19/2014,1966,2051.75,1937,2042.5,13066783,12232808
@ES#,12/26/2014,2040.5,2064.25,2039.5,2059.75,2180703,10913841
@ES#,1/2/2015,2061.5,2064.25,2014.25,2021.75,3548944,10997537
@ES#,1/9/2015,2021.25,2037.5,1959.75,2010.75,9603097,13589368
@ES#,1/16/2015,2010,2027.25,1945.75,1988.5,10912887,13511728
@ES#,1/23/2015,1989,2038,1973,2019.5,6634478,10774155
@ES#,1/30/2015,2010.5,2030.5,1957.5,1964,9787380,13586611
@ES#,2/6/2015,1966,2043.5,1949.25,2028.5,8507589,13653146
@ES#,2/13/2015,2025.5,2070.5,2012,2069,6641427,13832591
@ES#,2/20/2015,2066.75,2084.25,2056.25,2082.5,5112120,11195852
@ES#,2/27/2015,2082.75,2093.25,2075.25,2078.25,5288476,14265794
@ES#,3/6/2015,2079.5,2091,2041,2046.25,6925838,14579995
@ES#,3/13/2015,2049,2058,2013.75,2025.25,7364104,10905629
@ES#,3/20/2015,2026.25,2089.75,2020.25,2082.25,8418082,11988846
@ES#,3/27/2015,2080.75,2090,2016.25,2035.5,6929960,13133811
@ES#,4/3/2015,2035.75,2064.75,2016.5,2042.5,5794689,13255601
@ES#,4/10/2015,2022.5,2079.25,2021.75,2078.5,5306277,13247301
@ES#,4/17/2015,2078.25,2088.5,2047.5,2058.5,6329389,13372816
@ES#,4/24/2015,2064,2097.75,2061.5,2094.75,5681735,13486169
@ES#,5/1/2015,2096.25,2102.75,2053.25,2084.5,7475130,13615578
@ES#,5/8/2015,2084.75,2098,2040,2091.5,7164558,13590726
@ES#,5/15/2015,2093,2105.75,2062.25,2102,6100893,13591673
@ES#,5/22/2015,2102.25,2117,2095.25,2107.5,4490188,13609524
@ES#,5/29/2015,2107.5,2110,2079,2089,5654735,10974772
@ES#,6/5/2015,2090,2103.75,2066.5,2075.25,7274568,13838374
@ES#,6/12/2015,2075,2097.5,2051.75,2075.75,6916187,10136235
@ES#,6/19/2015,2067.25,2110,2052.75,2088.5,8377617,11531532
