ID,Date,Time,zzPrice,zzChange,zzVolume,zzDelta,zzBars,zzAvgSz,zzTrades,zzSlope,zzWave,zzVolBar,zzVolPrice,zzRetrPer,zzDur
@NQ#_ZIG,12/8/2015,5:50:56,4664,4.25,329,0,1,0,0,82,c,329,0,28.33,361
@NQ#_ZIG,12/8/2015,5:54:57,4658.5,-5.5,439,0,2,0,0,-77.8,d,122,0,129.41,241
@NQ#_ZIG,12/8/2015,6:10:57,4664.25,5.75,880,0,2,0,0,78.3,a,150,0,104.55,960
@NQ#_ZIG,12/8/2015,6:34:56,4645.75,-18.5,4446,0,10,0,0,-72.2,b,1298,0,321.74,1439
@NQ#_ZIG,12/8/2015,6:36:56,4650.5,4.75,359,0,1,0,0,82.9,c,359,0,25.68,120
@NQ#_ZIG,12/8/2015,6:43:56,4645.25,-5.25,1415,0,2,0,0,-77.2,d,1136,0,110.53,420
@NQ#_ZIG,12/8/2015,6:55:57,4650.5,5.25,892,0,2,0,0,77.2,a,308,0,100,721
@NQ#_ZIG,12/8/2015,7:04:56,4640.75,-9.75,1913,0,5,0,0,-73.1,b,547,0,185.71,539
@NQ#_ZIG,12/8/2015,7:13:57,4646.25,5.5,1377,0,2,0,0,77.8,c,476,0,56.41,541
@NQ#_ZIG,12/8/2015,7:30:56,4639.25,-7,1891,0,5,0,0,-67,d,863,0,127.27,1019
@NQ#_ZIG,12/8/2015,7:45:57,4646.25,7,1784,0,3,0,0,75.7,a,546,0,100,901
@NQ#_ZIG,12/8/2015,7:49:56,4642,-4.25,506,0,1,0,0,-82,1,506,0,60.71,239
@NQ#_ZIG,12/8/2015,7:55:56,4646.5,4.5,420,0,1,0,0,82.5,2,420,0,105.88,360
@NQ#_ZIG,12/8/2015,8:05:56,4635,-11.5,2100,0,5,0,0,-75.5,1,1474,0,255.56,600
@NQ#_ZIG,12/8/2015,8:11:55,4639.5,4.5,909,0,2,0,0,75.2,a,758,0,39.13,359
@NQ#_ZIG,12/8/2015,8:14:56,4635,-4.5,224,0,2,0,0,-75.2,1,81,0,100,181
@NQ#_ZIG,12/8/2015,8:18:57,4639.25,4.25,632,0,2,0,0,74.4,a,491,0,94.44,241
@NQ#_ZIG,12/8/2015,8:29:56,4635,-4.25,1832,0,1,0,0,-82,1,1832,0,100,659
@NQ#_ZIG,12/8/2015,8:30:57,4642.75,7.75,797,0,4,0,0,73,2,0,0,182.35,61
@NQ#_ZIG,12/8/2015,8:31:56,4636.75,-6,4191,0,2,0,0,-78.8,3,4191,0,77.42,59
@NQ#_ZIG,12/8/2015,8:31:57,4646,9.25,0,0,4,0,0,75.6,4,0,0,154.17,1
@NQ#_ZIG,12/8/2015,8:31:58,4637.75,-8.25,0,0,4,0,0,-73.9,5,0,0,89.19,1
@NQ#_ZIG,12/8/2015,8:32:57,4644.5,6.75,2161,0,3,0,0,75.2,a,0,0,81.82,59
@NQ#_ZIG,12/8/2015,8:34:56,4636,-8.5,3553,0,4,0,0,-74.4,b,1693,0,125.93,119
@NQ#_ZIG,12/8/2015,8:35:57,4641.25,5.25,1582,0,4,0,0,65.6,c,0,0,61.76,61
@NQ#_ZIG,12/8/2015,8:35:58,4636,-5.25,0,0,2,0,0,-77.2,1,0,0,100,1
@NQ#_ZIG,12/8/2015,8:36:57,4641.25,5.25,1470,0,2,0,0,77.2,a,0,0,100,59
@NQ#_ZIG,12/8/2015,8:38:56,4635.25,-6,2792,0,2,0,0,-78.8,b,1847,0,114.29,119
@NQ#_ZIG,12/8/2015,8:38:57,4643.5,8.25,0,0,3,0,0,77.8,a,0,0,137.5,1
@NQ#_ZIG,12/8/2015,8:38:58,4638.25,-5.25,0,0,1,0,0,-83.5,1,0,0,63.64,1
@NQ#_ZIG,12/8/2015,8:40:56,4646.5,8.25,2366,0,3,0,0,77.8,2,0,0,157.14,118
@NQ#_ZIG,12/8/2015,8:40:56,4639.5,-7,0,0,2,0,0,-80.4,3,0,0,84.85,0
@NQ#_ZIG,12/8/2015,8:41:57,4651.75,12.25,1935,0,8,0,0,68.8,4,0,0,175,61
@NQ#_ZIG,12/8/2015,8:41:58,4644.5,-7.25,0,0,3,0,0,-76.2,5,0,0,59.18,1
@NQ#_ZIG,12/8/2015,8:43:57,4653.25,8.75,4061,0,4,0,0,74.8,6,1478,0,120.69,119
@NQ#_ZIG,12/8/2015,8:44:56,4648.75,-4.5,988,0,1,0,0,-82.5,7,988,0,51.43,59
@NQ#_ZIG,12/8/2015,8:44:57,4657,8.25,0,0,3,0,0,77.8,8,0,0,183.33,1
@NQ#_ZIG,12/8/2015,8:44:57,4648.5,-8.5,0,0,3,0,0,-78.2,1,0,0,103.03,0
@NQ#_ZIG,12/8/2015,8:46:57,4658.25,9.75,3721,0,6,0,0,69.9,2,0,0,114.71,120
